joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
01/02/2020,Cloud Engineer,Less than 2 years,35000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2020,Digital Marketing,Less than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Quality Assurance Engineer,More than 2 years,42000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2023,Senior Software Developer (Backend),Less than 2 years,80000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2022,Senior Software Developer (Frontend),More than 6 years,155000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Web Developer,Less than 2 years,50000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
01/03/2023,Software Developer (Frontend),Less than 2 years,60000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
01/01/2023,DevOps Engineer,Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,Relocation/move to a different city
01/02/2022,Software Developer (Frontend),Less than 2 years,35000,E-Commerce,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/01/2022,Artificial Intelligence (AI) Engineer,More than 3 years,170000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/01/2022,Artificial Intelligence (AI) Engineer,Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Engineer (Backend),More than 4 years,75000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/02/2023,Software Engineer (Backend),Less than 2 years,100000,Technology,Increasing,Satisfied,Hybrid,Yes,"Career Development, Salary and Benefits"
01/02/2021,Full Stack Developer,More than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Web Developer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
01/02/2022,Software Developer (Frontend),More than 2 years,72000,E-Commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
02/01/2022,Software Developer (Frontend),More than 2 years,48000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2023,Software Engineer (Backend),More than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
01/01/2020,Senior Software Engineer (Backend),More than 5 years,110000,NGO,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Junior Software Developer (Backend),Less than 2 years,25000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2022,Digital Marketing,More than 2 years,37000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,DevOps Engineer,Less than 2 years,90000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
01/02/2023,Software Developer (Frontend),Less than 2 years,70000,Technology,Increasing,Satisfied,On Site,NO,I am happy with my work role
01/02/2023,Software Developer (Backend),More than 3 years,70000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Developer (Backend),Less than 2 years,50000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2021,Senior Software Developer (Backend),More than 2 years,45000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/01/2023,Envato Specialist,More than 2 years,60000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/01/2023,Graphic Designer,Fresh graduate,15000,Digital Marketing,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/01/2020,Senior Software Developer (Frontend),More than 6 years,160000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2023,Software Engineer,More than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
02/01/2023,Software Developer (Frontend),Less than 2 years,12000,Technology,Decreasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/01/2022,IT Support Engineer,Less than 2 years,41000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
01/02/2022,Software Developer (Frontend),More than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Developer (Backend),More than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2023,Software Developer (Backend),Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
01/02/2023,Software Engineer (Backend),Less than 2 years,45000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,Full Stack Developer,Less than 2 years,55000,Digital Marketing,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2023,Software Developer (Frontend),Less than 2 years,62500,Digital Marketing,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Senior Software Developer (Backend),More than 5 years,115000,Technology,Not Sure,Satisfied,Remote,No,I am happy with my work role
01/01/2022,Cloud Engineer,More than 2 years,100000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
01/01/2023,Software Quality Assurance Engineer,More than 2 years,85000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2022,Digital Marketing,Less than 2 years,40000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/02/2021,Digital Marketing,Less than 2 years,70000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/01/2023,Senior Software Developer (Backend),More than 3 years,80000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
01/02/2022,EEE Engineer,Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2022,Web Developer,Less than 2 years,32500,Technology,Decreasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2022,Kernel Developer,Less than 2 years,20000,Technology,Not Sure,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2021,IT Project Manager,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/03/2023,Senior Software Engineer (Backend),More than 3 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2022,Senior Software Developer (Frontend),More than 4 years,80000,Human Resources Services,Stable,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/03/2023,DevOps Engineer,More than 4 years,55000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
