joining_date,required_experience,Overall_Satisfication,Working_model,Salary
01/02/2021,More than 8 years,Satisfied,On Site,150000
01/02/2022,More than 3 years,Satisfied,Hybrid,100000
01/02/2023,More than 4 years,Satisfied,On Site,200000
01/02/2023,More than 2 years,Satisfied,On Site,135000
01/02/2022,More than 2 years,Neutral,On Site,40000
01/02/2021,Less than 2 years,Neutral,On Site,32500
01/02/2022,Fresh graduate,Neutral,On Site,12000
01/02/2023,More than 3 years,Neutral,On Site,75000
01/02/2023,More than 3 years,Satisfied,On Site,75000
01/02/2022,More than 7 years,Dissatisfied,On Site,145000
01/02/2021,More than 2 years,Satisfied,On Site,140000
01/02/2022,More than 5 years,Satisfied,Remote,140000
01/02/2023,More than 5 years,Neutral,On Site,190000
01/02/2022,Less than 2 years,Neutral,On Site,60000
01/02/2021,Less than 2 years,Satisfied,On Site,60000
01/02/2022,More than 2 years,Satisfied,On Site,100000
01/02/2022,Less than 2 years,Satisfied,On Site,42500
01/02/2023,More than 2 years,Satisfied,On Site,60000
01/02/2020,Less than 2 years,Satisfied,On Site,30000
01/02/2021,More than 2 years,Satisfied,On Site,40000
01/02/2022,More than 4 years,Satisfied,Remote,150000
01/02/2023,More than 2 years,Neutral,On Site,30000
01/02/2020,More than 4 years,Dissatisfied,On Site,70000
01/02/2021,Fresh graduate,Neutral,On Site,15000
01/02/2022,Fresh graduate,Satisfied,On Site,20000
01/02/2024,Less than 2 years,Satisfied,On Site,60000
01/02/2021,Fresh graduate,Dissatisfied,Remote,5000
01/02/2022,More than 2 years,Dissatisfied,On Site,60000
01/02/2023,More than 3 years,Satisfied,Remote,70000
02/01/2023,Less than 2 years,Satisfied,On Site,50000
01/02/2022,More than 2 years,Satisfied,On Site,80000
01/02/2024,Fresh graduate,Neutral,On Site,7000
01/02/2023,More than 3 years,Satisfied,On Site,80000
02/01/2022,More than 3 years,Satisfied,On Site,26000
01/02/2023,Less than 2 years,Satisfied,Remote,75000
01/02/2022,More than 5 years,Satisfied,Remote,110000
